// Greek language file for AutoIndex version 2.1.2, no independent copyright claims by NSK, 
//Translated from English by NSK, The English original is under the GPL therefore this Greek translation is also under the GPL, http://nsk.wikinerds.org/

index of	Λίστα
parent directory	Πάνω κατάλογος
thumbnail of	Σμίνκρυνση του
continue	Συνέχεια

file	Αρχείο
files	Αρχεία
folder	Κατάλογος
folders	Κατάλογοι
size	Μέγεθος
total size	Συνολικό μέγεθος
total downloads	Συνολικές μεταφορές
total	Σρνολο
date	Αλλαγή
description	Περιγραφή
downloads	Μεταφορές
type	Τρπος
sort by	Ταξινόμιση ανά

search	Ερρεση
both	Και τα δυο
search results for	Αποτελέσματα ερρεσης για
and its subdirectories	και τους υποκαταλόγους του

account	Λογαριασμός χρήστη
login	Αναγνώριση
logout	Απεγνώριση
username	Όνομα χρήστη
password	Συνθηματικό
select user to remove	Επέλεξε χρήστη για να αφαιρέσεις
are you sure you want to remove the user	Είσαι σίγουρος ότι θέλεις να αφαιρέσεις το χρήστη
delete this user	Διαγραφή αυτορ του χρήστη
add user	Προσθήκη χρήστη

guest	Καλεσμένος
user	Κανονικός χρήστης
mod	Κατευναστής
admin	Διαχειρηστής
level	Επίπεδο χρήστη

rename	αλλαγή ονόματος/μετακίνηση
renaming	Αλλαγή ονόματος
new filename	ρέο όνομα αρχείου
you can also move the file by specifying a path	μπορείς επίσης να μετακινήσεις ένα αρχείο με το να γράψεις μία διαδρομή
delete	διαγραφή
are you sure you want to delete the file	Είσαι σίγουρος ότι θέλεις να σβήσεις το αρχείο
edit description	διόρθωση περιγραφής
yes, delete	ραι, σβήσε το

upload	Μετακίνηση προς διακομιστή
files to this folder	αχεία σε αυτό το κατάλογο
uploaded files	Αρχεία που έχουν μετακινηθεί στον διακομιστή
failed files	Αποτυχημένα αρχεία
none	Κανένα
file already exists	το αρχείο ήδη υπάχρει
filename is listed as a hidden file	το όνομα αρχείου είναι κρυφό

reconfigure script	Αλλαγή παραμέτρων
create new directory in this folder	Δημιουργία νέου καταλόγου (σε αυτό τον κατάλογο)
edit list of hidden files	Επεξεργασία λίστας κρυφών αρχείων
add new user	Προσθήκη νέου χρήστη
delete user	Διαγραφή χρήστη
copy url	Αντιγραφή ενός απομακρυσμένου αρχείου (σε αυτό το κατάλογο)
upload to ftp	Μετακίνηση του αρχείου σε διακομιστή FTP

enter the new description for the file	Εισήγαγε νέα περιγραφή για το αρχείο
change	Αλλαγή
enter the new name	Εισηγαγε το νέο όνομα
create	Δημιουργία

add	Προσθήκη
remove	Αφαίρεση
remove a hidden file	Αφαίρεση κρυφορ αρχείου
add a new hidden file	Προσθήκη κρυφορ αρχείου

edit ban list	Επεξεργασία λίστας απαγορευμένων διευθρνσεων δικτρου IP και ονομάτων hostname
remove a ban	Αφαίρεση απαγόρευσης
add a new ban	Προσθήκη απαγόρευσης (διερθυνση δικτίου IP ή όνομα hostname, μπορεις να χρησιμοποιήσεις χαρακτήρες μπαλαντέρ)
the administrator has blocked your ip address or hostname	Συγνώμη, ο διαχειριστής έχει απαγορέψει την διερθυνση δικτρου IP σας ή το όνομα hostname σας

view entries from log file	Δες εγγραφές από το αρχείο κατεγραφών
view statistics from log file	Δες στατιστικά απο το αρχείο κατεγραφών
how many entries would you like to view	Πόσες πολλές εγγραφές θα ήθελες να δεις
view	Δες
page	Page
of	of

calculate md5sum	υπολόγησε md5sum
download directory as tar.gz archive	Μετακίνηση του καταλόγου στον υπολογιστή μου ως συμπιεσμένο tar.gz αρχείο
leningrad	Λένινγκραντ
aleppo	Αλέππο
peshitta	Πεσίτα
khabouris	Khabouris
sinaiticus	Σινάιτίκ
qumran	Κουμράν
